ID,year,region,npg,birth_rate,death_rate,gdw,urbanization
337,2003,Chukotka Autonomous Okrug,2.3,13,10.7,42.11,66.38
338,2003,Sakha (Yakutia) Republic,4.8,15,10.2,57.06,64.42
339,2003,Yamalo-Nenets Autonomous Okrug,8,14,6.1,41.48,83.37
340,2003,Yaroslavl Oblast,-11.7,9.1,20.9,66.18,80.99
341,2004,Republic of Adygea,-4.5,10.4,15,69.34,52.3
342,2004,Altai Krai,-5,10.8,15.9,59.37,53.5
343,2004,Amur Oblast,-4.8,12.4,17.4,55.3,66.2
344,2004,Arkhangelsk Oblast,-6.5,11,17.6,56.74,75
345,2004,Astrakhan Oblast,-2.6,12.4,14.9,61.26,67.9
346,2004,Republic of Bashkortostan,-2.9,11.2,14.1,64.34,64.2
347,2004,Belgorod Oblast,-7.1,9.1,16.2,65.42,65.4
348,2004,Bryansk Oblast,-9.8,9.2,19.1,67.77,68.5
349,2004,Republic of Buryatia,-1.5,13.8,15.3,58.39,58.7
350,2004,Vladimir Oblast,-10.8,9.4,20.1,64.81,79.4
351,2004,Volgograd Oblast,-5.8,9.6,15.4,64.02,75.2
352,2004,Vologda Oblast,-8.4,10.7,19.1,61.31,69.3
353,2004,Voronezh Oblast,-10,8.6,18.5,68.67,62
354,2004,Republic of Dagestan,9.9,15.9,6,68.15,43.2
355,2004,Jewish Autonomous Oblast,-5,12,17.2,55.53,67.6
356,2004,Zabaykalsky Krai,-3.3,13.8,17.1,58.74,64
357,2004,Ivanovo Oblast,-12.6,9,21.6,66.19,82.6
358,2004,Republic of Ingushetia,10.5,14.2,4,75.08,42.6
359,2004,Irkutsk Oblast,-4.1,12.4,16.6,59.17,79.4
360,2004,Kabardino-Balkar Republic,0.8,10.5,9.8,62.53,58.6
361,2004,Kaliningrad Oblast,-9,9.1,18.2,56.23,77.7
362,2004,Republic of Kalmykia,2.5,13.5,10.9,60.74,44.3
363,2004,Kaluga Oblast,-9.5,9.2,18.6,64.4,75
364,2004,Kamchatka Krai,-1.1,11.1,12.4,44.63,81.1
365,2004,Karachay-Cherkess Republic,0.3,11.9,11.3,66.03,44.2
366,2004,Republic of Karelia,-8.1,10.4,18.8,56.51,75.5
367,2004,Kemerovo Oblast,-7.2,10.7,18,58.72,86.8
368,2004,Kirov Oblast,-9.2,9.6,19,61.41,72.2
369,2004,Kostroma Oblast,-11.2,10,21.3,65.08,67.9
370,2004,Krasnodar Krai,-4.5,10.8,15.3,66.53,53.5
371,2004,Krasnoyarsk Krai,-3.9,11.2,15.2,55.75,76
372,2004,Republic of Crimea,,,,,
373,2004,Kurgan Oblast,-7,10.7,17.8,65.26,57
374,2004,Kursk Oblast,-10.4,9,19.5,68.76,61.7
375,2004,Leningrad Oblast,-12,8.3,20,62.75,66.4
376,2004,Lipetsk Oblast,-9.1,9.2,18.2,65.91,64.4
377,2004,Magadan Oblast,-1.9,11.5,13.5,41.98,93.1
378,2004,Mari El Republic,-6.1,10.7,16.8,58.64,63.2
379,2004,Republic of Mordovia,-8.1,8.8,16.9,62.51,59.3
380,2004,Moscow,-3.8,8.8,12.3,52.86,100
381,2004,Moscow Oblast,-8.4,9.1,17.3,60.66,79.4
382,2004,Murmansk Oblast,-3.2,10.2,13.5,44.91,92.3
383,2004,Nenets Autonomous Okrug,1.8,14.2,12.4,55.22,63.9
384,2004,Nizhny Novgorod Oblast,-10.7,9.1,19.8,64.61,78.3
385,2004,Novgorod Oblast,-12.9,9.5,22.4,66.94,70.2
386,2004,Novosibirsk Oblast,-4.5,10.9,15.4,58.28,75.3
387,2004,Omsk Oblast,-4.2,10.7,15,58.55,69.1
388,2004,Orenburg Oblast,-4.1,10.9,15.1,62.01,58
389,2004,Oryol Oblast,-9.5,9.1,18.8,66.49,63.9
390,2004,Penza Oblast,-9.4,8.6,17.9,65.15,65.3
391,2004,Perm Krai,-6.3,11.4,17.7,59.86,75.2
392,2004,Primorsky Krai,-5.1,10.6,15.8,54.44,78.4
393,2004,Pskov Oblast,-15.1,9.1,24.2,67.92,66.9
394,2004,Altai Republic,2.5,17.3,14.9,62.44,26.3
395,2004,Komi Republic,-3.7,11.5,15.3,48.91,75.3
